"name","group"
"mobile crane operator","Crane, hoist and related plant operators"
"energy trader","Securities and finance dealers and brokers"
"sewerage cleaner","Other cleaning workers"
"foster care support worker","Social work associate professionals"
"auditing clerk","Statistical, finance and insurance clerks"
"agricultural technician","Agricultural technicians"
"leather goods quality manager","Manufacturing managers"
"component engineer","Engineering professionals not elsewhere classified"
"heating, ventilation, air conditioning engineer","Mechanical engineers"
"diplomat","Senior government officials"
"vineyard machinery operator","Tree and shrub crop growers"
"maritime pilot","Ships' deck officers and pilots"
"energy systems engineer","Engineering professionals not elsewhere classified"
"electromagnetic engineer","Electrical engineers"
"vessel assembly supervisor","Manufacturing supervisors"
"archaeologist","Sociologists, anthropologists and related professionals"
"relocation officer","Business services agents not elsewhere classified"
"harvest diver","Underwater divers"
"on foot aquatic resources collector","Fishery and aquaculture labourers"
"business intelligence manager","Management and organisation analysts"
"automated cutting machine operator","Shoemaking and related machine operators"
"labour relations officer","Personnel and careers professionals"
"concrete finisher supervisor","Construction supervisors"
"sport administrator","Professional services managers not elsewhere classified"
"vineyard supervisor","Tree and shrub crop growers"
"vehicle glazier","Glaziers"
"bed and breakfast operator","Domestic housekeepers"
"oil refinery control room operator","Petroleum and natural gas refining plant operators"
"veneer slicer operator","Wood processing plant operators"
"manufacturing cost estimator","Management and organisation analysts"
"train preparer","Railway brake, signal and switch operators"
"colour sampling operator","Fur and leather preparing machine operators"
"gauger","Chemical products plant and machine operators"
"promoter","Business services agents not elsewhere classified"
"promotion assistant","Advertising and marketing professionals"
"pest management worker","Fumigators and other pest and weed controllers"
"financial planner","Financial and investment advisers"
"public speaking coach","Teaching professionals not elsewhere classified"
"waterway construction labourer","Civil engineering labourers"
"textile dyeing technician","Bleaching, dyeing and fabric cleaning machine operators"
"metal furniture machine operator","Assemblers not elsewhere classified"
"circus artist","Creative and performing artists not elsewhere classified"
"electronic equipment inspector","Product graders and testers (excluding foods and beverages)"
"green ICT consultant","Systems analysts"
"typist","Typists and word processing operators"
"moulding machine operator","Metal working machine tool setters and operators"
"foreclosure specialist","Valuers and loss assessors"
"activity leader","Fitness and recreation instructors and program leaders"
"air separation plant operator","Chemical processing plant controllers"
"lacquer maker","Chemical products plant and machine operators"
"mastering engineer","Broadcasting and audiovisual technicians"
"mine shift manager","Mining supervisors"
"energy conservation officer","Civil engineering technicians"
"flowers and plants distribution manager","Supply, distribution and related managers"
"furniture cleaner","Cleaners and helpers in offices, hotels and other establishments"
"imagesetter","Pre-press technicians"
"interpreter","Translators, interpreters and other linguists"
"greaser","Agricultural and industrial machinery mechanics and repairers"
"rotating equipment mechanic","Agricultural and industrial machinery mechanics and repairers"
"educational counsellor","Teaching professionals not elsewhere classified"
"satellite engineer","Electronics engineers"
"tyre builder","Rubber products machine operators"
"computers, computer peripheral equipment and software distribution manager","Supply, distribution and related managers"
"deep-sea fishery worker","Deep-sea fishery workers"
"corporate investment banker","Financial and investment advisers"
"factory hand","Manufacturing labourers not elsewhere classified"
"rotating equipment engineer","Mechanical engineers"
"election observer","Legal professionals not elsewhere classified"
"staircase installer","Carpenters and joiners"
"refuse vehicle driver","Heavy truck and lorry drivers"
"medical device assembler","Assemblers not elsewhere classified"
"pharmaceutical goods distribution manager","Supply, distribution and related managers"
"diesel engine mechanic","Motor vehicle mechanics and repairers"
"library manager","Professional services managers not elsewhere classified"
"leather goods manual operator","Shoemakers and related workers"
"veterinary nurse","Veterinary technicians and assistants"
"photonics engineering technician","Physical and engineering science technicians not elsewhere classified"
"electrical drafter","Draughtspersons"
"casting machine operator","Metal processing plant operators"
"printed circuit board test technician","Product graders and testers (excluding foods and beverages)"
"cadastral technician","Cartographers and surveyors"
"physiologist","Biologists, botanists, zoologists and related professionals"
"data scientist","Systems analysts"
"motorcycle instructor","Driving instructors"
"fiberglass laminator","Plastic products machine operators"
"cloak room attendant","Elementary workers not elsewhere classified"
"ship planner","Transport clerks"
"park guide","Travel guides"
"actor/actress","Actors"
"leather wet processing department manager","Manufacturing managers"
"navy officer","Commissioned armed forces officers"
"vehicle maintenance supervisor","Motor vehicle mechanics and repairers"
"bookmaker","Bookmakers, croupiers and related gaming workers"
"dog trainer","Pet groomers and animal care workers"
"pasta maker","Bakers, pastry-cooks and confectionery makers"
"confectionery specialised seller","Shop sales assistants"
"industrial machinery mechanic","Agricultural and industrial machinery mechanics and repairers"
"boat rigger","Riggers and cable splicers"
"fact checker","Journalists"
"newspaper editor","Journalists"
"microsystem engineering technician","Electronics engineering technicians"
"fisheries boatman","Inland and coastal waters fishery workers"
"middle office analyst","Financial analysts"
"chief ICT security officer","Database and network professionals not elsewhere classified"
"electronics engineering technician","Electronics engineering technicians"
"rail logistics coordinator","Transport clerks"
"marine cargo inspector","Regulatory government associate professionals not elsewhere classified"
"history teacher secondary school","Secondary education teachers"
"chemical metallurgist","Mining engineers, metallurgists and related professionals"
"paper cutter operator","Paper products machine operators"
"puppeteer","Creative and performing artists not elsewhere classified"
"regional development policy officer","Policy administration professionals"
"water quality analyst","Environmental protection professionals"
"alternative animal therapist","Veterinary technicians and assistants"
"made-up textile articles manufacturer","Sewing, embroidery and related workers"
"centrifuge operator","Food and related products machine operators"
"braiding textile technician","Textile, fur and leather products machine operators not elsewhere classified"
"travel consultant","Travel consultants and clerks"
"automotive test driver","Product graders and testers (excluding foods and beverages)"
"aviation meteorologist","Meteorologists"
"leather goods CAD patternmaker","Garment and related pattern-makers and cutters"
"soap chipper","Chemical products plant and machine operators"
"live animals distribution manager","Supply, distribution and related managers"
"ice-skating coach","Sports coaches, instructors and officials"
"purchaser","Buyers"
"executive assistant","Administrative and executive secretaries"
"shepherd","Livestock and dairy producers"
"rail construction supervisor","Construction supervisors"
"carpenter","Carpenters and joiners"
"chilling operator","Food and related products machine operators"
"dresser","Other artistic and cultural associate professionals"
"pipeline pump operator","Well drillers and borers and related workers"
"casting mould maker","Toolmakers and related workers"
"construction engineer","Civil engineers"
"textile machinery technician","Agricultural and industrial machinery mechanics and repairers"
"shotfirer","Shotfirers and blasters"
"marine engineering drafter","Draughtspersons"
"fish, crustaceans and molluscs distribution manager","Supply, distribution and related managers"
"optical instrument repairer","Precision-instrument makers and repairers"
"police commissioner","Senior government officials"
"child welfare worker","Social work associate professionals"
"commodity broker","Trade brokers"
"bakery shop manager","Retail and wholesale trade managers"
"textile machine operator","Weaving and knitting machine operators"
"dog breeder","Pet groomers and animal care workers"
"sewer construction supervisor","Construction supervisors"
"health and safety inspector","Regulatory government associate professionals not elsewhere classified"
"footwear quality controller","Product graders and testers (excluding foods and beverages)"
"classical languages teacher secondary school","Secondary education teachers"
"deputy head teacher","Education managers"
"cashier","Cashiers and ticket clerks"
"instrumentation engineering technician","Electronics engineering technicians"
"meter reader","Meter readers and vending-machine collectors"
"heat sealing machine operator","Packing, bottling and labelling machine operators"
"rental service representative in personal and household goods","Sales workers not elsewhere classified"
"enterprise architect","Systems analysts"
"clothing technologist","Industrial and production engineers"
"vessel steering instructor","Fitness and recreation instructors and program leaders"
"further education principal","Education managers"
"botanical technician","Life science technicians (excluding medical)"
"social security inspector","Government social benefits officials"
"commercial art gallery manager","Professional services managers not elsewhere classified"
"carriage driver","Drivers of animal-drawn vehicles and machinery"
"leather measuring operator","Textile, fur and leather products machine operators not elsewhere classified"
"boiler operator","Steam engine and boiler operators"
"audio production technician","Broadcasting and audiovisual technicians"
"toys and games shop manager","Retail and wholesale trade managers"
"machine operator supervisor","Manufacturing supervisors"
"insurance collector","Debt-collectors and related workers"
"commercial director","Sales and marketing managers"
"spa attendant","Beauticians and related workers"
"technical sales representative in agricultural machinery and equipment","Technical and medical sales professionals (excluding ICT)"
"coppersmith","Sheet-metal workers"
"wine sommelier","Waiters"
"frame maker","Cabinet-makers and related workers"
"acupuncturist","Traditional and complementary medicine professionals"
"wholesale merchant in electronic and telecommunications equipment and parts","Trade brokers"
"academic support officer","Teaching professionals not elsewhere classified"
"animal welfare inspector","Pet groomers and animal care workers"
"boatswain","Ships’ deck crews and related workers"
"aquaculture cage mooring worker","Fishery and aquaculture labourers"
"lift installation supervisor","Construction supervisors"
"biomedical scientist","Medical and pathology laboratory technicians"
"bakery specialised seller","Shop sales assistants"
"construction scaffolding supervisor","Construction supervisors"
"sales account manager","Retail and wholesale trade managers"
"tunnel kiln operator","Glass and ceramics plant operators"
"mobile application developer","Applications programmers"
"wearing apparel presser","Hand launderers and pressers"
"wholesale merchant in fish, crustaceans and molluscs","Trade brokers"
"communication infrastructure maintainer","Information and communications technology installers and servicers"
"book restorer","Print finishing and binding workers"
"food production engineer","Industrial and production engineers"
"lighting director","Graphic and multimedia designers"
"warehouse manager","Supply, distribution and related managers"
"bartender","Bartenders"
"bingo caller","Bookmakers, croupiers and related gaming workers"
"aviation communications and frequency coordination manager","Professional services managers not elsewhere classified"
"asphalt plant operator","Cement, stone and other mineral products machine operators"
"screw machine operator","Metal working machine tool setters and operators"
"pipe welder","Welders and flamecutters"
"bank teller","Bank tellers and related clerks"
"business lecturer","University and higher education teachers"
"maternity support worker","Midwifery associate professionals"
"life guard","Protective services workers not elsewhere classified"
"engineered wood board grader","Product graders and testers (excluding foods and beverages)"
"oilseed presser","Fruit, vegetable and related preservers"
"building cleaner","Cleaners and helpers in offices, hotels and other establishments"
"pneumatic engineering technician","Mechanical engineering technicians"
"medical device engineering technician","Electronics engineering technicians"
"earth science lecturer","University and higher education teachers"
"costume attendant","Other artistic and cultural associate professionals"
"raw materials warehouse specialist","Stock clerks"
"civil drafter","Draughtspersons"
"animation director","Graphic and multimedia designers"
"quality engineer","Engineering professionals not elsewhere classified"
"call centre analyst","Office supervisors"
