"name","group"
"set builder","Interior designers and decorators"
"slaughterer","Butchers, fishmongers and related food preparers"
"pipeline environmental project manager","Environmental protection professionals"
"man-made fiber spinner","Fibre preparing, spinning and winding machine operators"
"movie distributor","Supply, distribution and related managers"
"window installer","Carpenters and joiners"
"supreme court judge","Judges"
"ICT intelligent systems designer","Systems analysts"
"online marketer","Advertising and marketing professionals"
"knitter","Handicraft workers in textile, leather and related materials"
"pulp grader","Product graders and testers (excluding foods and beverages)"
"chemical engineering technician","Chemical engineering technicians"
"venue programmer","Business services agents not elsewhere classified"
"wood technology engineer","Engineering professionals not elsewhere classified"
"optoelectronic engineer","Electronics engineers"
"wholesale merchant in computers, computer peripheral equipment and software","Trade brokers"
"religious education teacher secondary school","Secondary education teachers"
"intelligence communications interceptor","Armed forces occupations, other ranks"
"visual merchandiser","Interior designers and decorators"
"radio technician","Information and communications technology installers and servicers"
"chocolatier","Bakers, pastry-cooks and confectionery makers"
"financial markets back office administrator","Statistical, finance and insurance clerks"
"sound editor","Broadcasting and audiovisual technicians"
"advanced nurse practitioner","Nursing professionals"
"architectural drafter","Draughtspersons"
"stop-motion animator","Graphic and multimedia designers"
"driller","Miners and quarriers"
"coffee roaster","Food and related products machine operators"
"leather goods quality controller","Product graders and testers (excluding foods and beverages)"
"paper pulp moulding operator","Pulp and papermaking plant operators"
"fruit and vegetable picker","Crop farm labourers"
"security guard supervisor","Security guards"
"artistic painter","Visual artists"
"jewellery engraver","Jewellery and precious-metal workers"
"starch converting operator","Food and related products machine operators"
"information manager","Librarians and related information professionals"
"purchasing manager","Supply, distribution and related managers"
"gaming inspector","Regulatory government associate professionals not elsewhere classified"
"library assistant","Library clerks"
"food service vocational teacher","Vocational education teachers"
"butcher","Butchers, fishmongers and related food preparers"
"machinery assembly supervisor","Manufacturing supervisors"
"china and glassware distribution manager","Supply, distribution and related managers"
"clothing quality inspector","Product graders and testers (excluding foods and beverages)"
"mechanical engineering drafter","Draughtspersons"
"competition policy officer","Policy administration professionals"
"car leasing agent","Shop sales assistants"
"marine surveyor","Mechanical engineering technicians"
"police detective","Police inspectors and detectives"
